STATEABBRV,COUNTY,STCOFIPS,POPULATION,RISK_SCORE,CFLD_RISKS,DRGT_RISKS,HWAV_RISKS,HRCN_RISKS,IFLD_RISKS,WFIR_RISKS
AL,Autauga,01001,58764,57.56997455470738,,45.64249363867685,85.90237636480411,72.090112640801,65.52162849872774,45.73791348600509
AL,Baldwin,01003,231365,96.72391857506362,85.8,74.52290076335878,92.1965317919075,99.24906132665832,92.20737913486005,90.77608142493636
AL,Barbour,01005,25160,48.1234096692112,,70.0381679389313,69.46050096339114,79.9749687108886,50.76335877862596,48.854961832061065
AL,Bibb,01007,22239,39.12213740458015,,33.87404580152672,59.69813744380218,50.06257822277848,48.918575063613225,48.66412213740458
AL,Blount,01009,58992,68.4796437659033,,55.18447837150128,69.49261400128452,62.99541093032958,69.46564885496184,65.04452926208651
AL,Bullock,01011,10326,25.254452926208653,,90.99872773536897,49.96788696210662,76.17855652899458,20.165394402035624,46.087786259541986
AL,Butler,01013,19015,45.16539440203562,,37.086513994910945,56.1014771997431,85.85732165206508,36.1323155216285,31.075063613231553
AL,Calhoun,01015,116250,88.45419847328245,,61.25954198473281,78.3558124598587,73.9674593241552,89.53562340966921,81.52035623409668
AL,Chambers,01017,34738,47.23282442748092,,38.708651399491096,82.7874116891458,70.17104714226116,57.474554707379134,51.653944020356235
AL,Cherokee,01019,24933,63.32697201017812,,89.79007633587787,44.637122671804754,62.91197329995828,70.41984732824427,68.22519083969466
AL,Chilton,01021,44999,54.70737913486005,,41.348600508905854,68.11175337186897,58.072590738423024,60.17811704834607,63.26335877862596
AL,Choctaw,01023,12632,70.61068702290076,,31.743002544529265,46.0179833012203,89.31998331247392,73.53689567430025,52.44910941475827
AL,Clarke,01025,23038,53.40330788804071,22.2,27.067430025445297,66.21708413615927,89.61201501877348,40.394402035623415,43.92493638676845
AL,Clay,01027,14212,26.685750636132315,,30.311704834605596,39.948619139370585,67.50104297037964,35.30534351145038,71.08778625954199
AL,Cleburne,01029,15040,27.480916030534353,,48.473282442748086,35.32434168272319,65.4151022110972,37.150127226463106,67.27099236641222
AL,Coffee,01031,53391,83.42875318066157,,55.089058524173026,64.7077713551702,92.86608260325404,84.4147582697201,56.45674300254453
AL,Colbert,01033,57133,80.6615776081425,,60.20992366412214,81.11753371868978,59.99165623696286,76.49491094147582,28.276081424936393
AL,Conecuh,01035,11582,31.106870229007633,,46.9147582697201,49.550417469492615,84.89778890279516,23.505089058524177,49.87277353689568
AL,Coosa,01037,10320,14.567430025445294,,20.35623409669211,39.30635838150289,55.15227367542762,34.25572519083969,64.44020356234097
AL,Covington,01039,37519,82.44274809160305,,55.216284987277355,69.65317919075144,95.57780559032125,69.0203562340967,49.650127226463106
AL,Crenshaw,01041,13179,34.38295165394402,,36.38676844783715,48.426461143224145,84.56403838130997,33.587786259541986,25.159033078880405
AL,Cullman,01043,87660,81.93384223918575,,59.605597964376585,82.27360308285164,72.79933249895703,80.24809160305344,65.07633587786259
AL,Dale,01045,49224,67.74809160305344,,63.072519083969475,66.98779704560052,89.27826449728828,61.00508905852418,44.56106870229007
AL,Dallas,01047,38341,70.76972010178118,,71.34223918575063,81.95247270391779,77.09637046307884,75.19083969465649,42.17557251908397
